uri,content
1,saturday
2,november
3,from
4,the
5,as
6,be
7,always
8,forget
9,just
10,how
11,first
12,of
13,for
14,an
15,can
16,if
17,in
18,this
19,case
20,lead
21,role
22,not
23,yet
24,cast
25,a
26,difficult
27,and
28,intend
29,pull
30,out
31,before
32,begin
33,professional
34,so
35,must
36,have
37,very
38,solid
39,reason
40,but
41,that
42,still
43,leaf
44,other
45,big
46,bit
47,piece
48,which
49,require
50,long
51,with
52,let
53,say
54,do
55,n't
56,to
57,happy
58,on
59,whole
60,also
61,admit
62,initial
63,music
64,call
65,director
66,no
67,matter
68,what
69,anyone
70,like
71,when
72,someone
73,position
74,power
75,time
76,would
77,course
78,help
79,more
80,start
81,hey
82,ca
83,at
84,least
85,despite
86,miss
87,due
88,number
89,german
90,english
91,'
92,get
93,over
94,now
95,simply
96,business
97,interesting
98,one
99,feel
100,during
101,process
102,brain
103,seem
104,focus
105,everything
106,directly
107,concern
108,learn
109,particular
110,remember
111,come
112,across
113,who
114,shall
115,remain
116,roll
117,paper
118,there
119,really
120,enough
121,hit
122,however
123,all
124,love
125,these
126,few
127,question
128,-
129,court
130,some
131,rather
132,beautiful
133,character
134,thing
135,comment
136,post
137,about
138,try
139,occasionally
140,make
141,sense
142,life
143,germany
144,past
145,include
146,french
147,drink
148,far
149,too
150,much
151,study
152,nearly
153,year
154,true
155,voice
156,later
157,than
158,most
159,support
160,continue
161,various
162,thanksgiving
163,benefit
164,people
165,many
166,organization
167,food
168,pain
169,event
170,likely
171,local
172,poster
173,annual
174,drive
175,by
176,will
177,deliver
178,family
179,whose
180,ill
181,child
182,treat
183,need
184,pm
185,tuesday
186,accept
187,next
188,week
189,host
190,free
191,dinner
192,thursday
193,park
194,street
195,those
196,live
197,information
198,visit
199,facebook
200,or
201,twitter
202,page
203,into
204,december
205,hospital
206,game
207,book
208,use
209,set
210,up
211,take
212,place
213,monday
214,run
215,each
216,day
217,southern
218,california
219,volunteer
220,item
221,european
222,publish
223,health
224,economic
225,increase
226,relate
227,risk
228,population
229,base
230,new
231,model
232,link
233,datum
234,france
235,country
236,level
237,product
238,professor
239,university
240,fact
241,effect
242,prove
243,general
244,although
245,may
246,further
247,provide
248,method
249,impact
250,cost
251,publication
252,example
253,online
254,scientific
255,different
256,type
257,certain
258,fish
259,around
260,daily
261,western
262,addition
263,large
264,variety
265,essential
266,such
267,along
268,d
269,associate
270,disease
271,where
272,become
273,less
274,public
275,burden
276,loss
277,quality
278,term
279,result
280,huge
281,care
282,lose
283,low
284,could
285,potentially
286,additional
287,follow
288,million
289,potential
290,exist
291,figure
292,senior
293,account
294,young
295,generation
296,add
297,regular
298,exercise
299,childhood
300,both
301,necessary
302,development
303,mass
304,contribute
305,strength
306,current
307,break
308,reader
309,every
310,another
311,pile
312,top
313,average
314,only
315,copy
316,per
317,sale
318,drop
319,want
320,create
321,buy
322,production
323,ask
324,hat
325,fat
326,same
327,light
328,second
329,find
330,because
331,useful
332,morning
333,action
334,finally
335,experience
336,combination
337,address
338,problem
339,something
340,informative
341,rule
342,traditional
343,unknown
344,author
345,high
346,value
347,expensive
348,color
349,approach
350,solution
351,easy
352,neither
353,cash
354,resource
355,marketing
356,department
357,nor
358,distribution
359,asset
360,house
361,wide
362,way
363,join
364,early
365,access
366,idea
367,part
368,work
369,topic
370,community
371,good
372,force
373,raise
374,money
375,offer
376,advanced
377,under
378,pay
379,price
380,deal
381,list
382,happen
383,ultimately
384,choose
385,quickly
386,sell
387,success
388,attention
389,publisher
390,never
391,once
392,successful
393,everyone
394,after
395,tough
396,sign
397,date
398,thank
399,think
400,story
401,inspire
402,design
403,tool
404,available
405,wonderful
406,read
407,today
408,down
409,able
410,attend
411,even
412,though
413,catch
414,via
415,session
416,own
417,full
418,handful
419,physical
420,recently
421,rest
422,great
423,john
424,american
425,leave
426,hard
427,turn
428,delight
429,ceo
430,equivalent
431,man
432,mitt
433,romney
434,hope
435,obamacare
436,industry
437,instead
438,cultural
439,back
440,worker
441,hour
442,pass
443,unfortunately
444,go
445,well
446,then
447,tell
448,oh
449,wait
450,already
451,summer
452,operate
453,consumer
454,form
455,article
456,look
457,math
458,here
459,understand
460,extra
461,employee
462,see
463,doctor
464,sick
465,response
466,maybe
467,massive
468,legislation
469,longer
470,actually
471,bill
472,president
473,obama
474,ever
475,point
476,give
477,fast
478,internet
479,real
480,corporate
481,social
482,responsibility
483,short
484,trend
485,talk
486,issue
487,brand
488,popular
489,recent
490,memory
491,chain
492,ingredient
493,why
494,percentage
495,customer
496,dollar
497,red
498,camera
499,jeff
500,bad
501,act
502,side
503,hand
504,meaningful
505,message
506,anything
507,expect
508,explain
509,mean
510,right
511,sort
512,sound
513,self
514,personal
515,weight
516,state
517,fear
518,world
519,change
520,through
521,confidence
522,late
523,spend
524,quite
525,possibly
526,important
527,know
528,jump
529,chapter
530,pick
531,achieve
532,primary
533,goal
534,eat
535,wo
536,detail
537,listen
538,highly
539,recommend
540,claim
541,exactly
542,human
543,little
544,waste
545,allow
546,fully
547,mike
548,woman
549,guy
550,opinion
551,put
552,foot
553,forward
554,definitely
555,advice
556,subject
557,lack
558,effort
559,usually
560,lot
561,kind
562,any
563,sit
564,home
565,complain
566,meet
567,realize
568,unless
569,decide
570,sure
571,literally
572,meeting
573,five
574,night
575,club
576,crowd
577,'d
578,okay
579,attitude
580,tip
581,ready
582,move
583,future
584,fan
585,style
586,agree
587,conclusion
588,off
589,often
590,last
591,joe
592,king
593,dry
594,debate
595,genre
596,rational
597,manner
598,beat
599,shit
600,hold
601,strongly
602,mumblecore
603,essentially
604,opposite
605,view
606,speak
607,heart
608,fight
609,pretty
610,fucking
611,movie
612,decision
613,stay
614,cool
615,site
616,onto
617,old
618,kill
619,strong
620,powerful
621,society
622,without
623,jail
624,deserve
625,ass
626,wish
627,wife
628,champion
629,throw
630,era
631,honestly
632,hear
633,certainly
634,writer
635,film
636,outside
637,system
638,show
639,perhaps
640,step
641,should
642,anybody
643,narrative
644,b
645,c
646,fuck
647,private
648,art
649,while
650,watch
651,moment
652,modern
653,technology
654,yeah
655,describe
656,crap
657,ball
658,shoot
659,master
660,core
661,end
662,awesome
663,structure
664,tend
665,smith
666,direction
667,write
668,influence
669,band
670,two
671,totally
672,typical
673,whether
674,laugh
675,eye
676,boy
